asset,n_months,bps_median,shannon_bias_max,lag1_median,monobit_rejects,runs_rejects,apen_rejects,predictability_rejects,predictability_k2_rejects,longest_run_max
BNB,15,2.4876409248985127,9.979978086438468e-05,0.3659537228340333,13,15,15,15,15,2069
BTC,15,10.675077363479572,0.0019383494447342,0.6355754182137274,15,15,15,15,15,12039
DOGE,15,2.021632585250148,1.3460346895755038e-05,0.4771993916728859,8,15,15,15,15,5071
ETH,15,9.55827457115952,0.0079320975592739,0.7448582926542601,13,15,15,15,15,15899
SOL,15,1.7439549870087956,2.348665542939443e-06,0.0952063794110084,4,15,15,15,15,792
