asset,date,source_file,timestamp_unit,start_time,end_time,duration_seconds,preview_duplicate_timestamps,sampling_k,input_rows,sampled_rows,retained_rows,zero_delta_count,zero_delta_ratio,duplicate_timestamp_count,bit_count,bits_per_second,p0,p1,shannon_entropy,lag1_autocorrelation,monobit_z,monobit_pvalue,runs_count,runs_z,runs_pvalue,longest_run_0,longest_run_1
BNBUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.389785+00:00,2026-01-01T12:14:33.493825+00:00,44073.10404,0,500,100000,200,195,4,0.02,0,195,0.004424467126776941,0.5025641025641026,0.49743589743589745,0.999981029567858,0.06185895741317418,0.0716114874039433,0.9429110979224854,92,-0.9330144815303717,0.3508124913529578,12,8
BNBUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.002674+00:00,2026-02-01T05:16:00.311841+00:00,18960.309167,0,500,100000,200,199,0,0.0,0,199,0.010495609446408982,0.49246231155778897,0.507537688442211,0.9998360553113792,-0.0406184624854363,0.21266436150250076,0.8315887662695147,104,0.5008031988214842,0.6165096341501402,5,7
BNBUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:01.627402+00:00,2026-03-01T06:04:19.779152+00:00,21858.15175,2,500,100000,200,198,1,0.005,0,198,0.009058405407035387,0.4797979797979798,0.5202020202020202,0.9988220893154099,0.07464382218159184,0.5685352436149612,0.5696715815879664,92,-1.1187735415989428,0.2632367619673481,10,8
BTCUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.039409+00:00,2026-01-01T06:21:01.272186+00:00,22861.232777,0,500,100000,200,195,4,0.02,0,195,0.008529723742465176,0.5076923076923077,0.49230769230769234,0.9998292601233936,0.14415563889233482,0.21483446221182986,0.8298963832086543,84,-2.0792873131658225,0.03759095051006195,12,11
BTCUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.006539+00:00,2026-02-01T01:04:17.222034+00:00,3857.215495,0,500,100000,200,199,0,0.0,0,199,0.0515916210172748,0.5025125628140703,0.49748743718592964,0.9999817845368457,0.040406101782088456,0.07088812050083358,0.9434867980568069,96,-0.6392694066006915,0.5226476870945185,7,9
BTCUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.005709+00:00,2026-03-01T01:29:28.412285+00:00,5368.406576,0,500,100000,200,199,0,0.0,0,199,0.0370687274115283,0.5276381909547738,0.4723618090452261,0.9977948144499764,0.04700460829493089,0.7797693255091694,0.43552666471172774,95,-0.7408088592002418,0.4588093428120554,6,5
DOGEUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.293938+00:00,2026-01-01T18:16:27.560840+00:00,65787.266902,0,500,100000,200,193,6,0.03,0,193,0.0029336984053084684,0.44041450777202074,0.5595854922279793,0.9897312351677734,0.028916987355689937,1.6555762267219976,0.09780766783608377,93,-0.4582575263160034,0.6467674350237377,7,10
DOGEUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.009013+00:00,2026-02-01T15:40:18.170788+00:00,56418.161775,0,500,100000,200,196,3,0.015,0,196,0.0034740585980391064,0.5051020408163265,0.49489795918367346,0.9999248896252453,0.03566919191919192,0.14285714285714285,0.8864030063670636,95,-0.5714977672877412,0.5676622733763936,6,6
DOGEUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.003065+00:00,2026-03-01T16:54:34.635694+00:00,60874.632629,0,500,100000,200,195,4,0.02,0,195,0.0032033047523822617,0.523076923076923,0.47692307692307695,0.9984628557283828,0.03919689431451,0.6445033866354896,0.5192490622486567,94,-0.6176702183163469,0.5367927474057564,6,9
ETHUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:01.317428+00:00,2026-01-01T12:07:04.931891+00:00,43623.614463,0,500,100000,200,198,1,0.005,0,198,0.00453882610226937,0.4747474747474747,0.5252525252525253,0.9981592324817737,-0.03769882255732286,0.7106690545187014,0.47728934026943065,103,0.4646629205841815,0.6421728657071646,6,8
