asset,date,source_file,timestamp_unit,start_time,end_time,duration_seconds,preview_duplicate_timestamps,sampling_k,input_rows,sampled_rows,retained_rows,zero_delta_count,zero_delta_ratio,duplicate_timestamp_count,bit_count,bits_per_second,p0,p1,shannon_entropy,lag1_autocorrelation,monobit_z,monobit_pvalue,runs_count,runs_z,runs_pvalue,longest_run_0,longest_run_1
BNBUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.389785+00:00,2026-01-01T12:14:33.493825+00:00,44073.10404,0,1,100000,100000,49361,50638,0.50638,17330,49361,1.1199801120248032,0.504852008670813,0.495147991329187,0.9999320711147667,-0.02035500713568445,2.1559740969313257,0.031085687849252905,25181,4.517881593013087,6.2461394604402155e-06,67,226
BNBUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.002674+00:00,2026-02-01T05:16:00.311841+00:00,18960.309167,0,1,100000,100000,57467,42532,0.42532,31899,57467,3.030910492747663,0.4991908399603251,0.5008091600396749,0.9999981108189604,0.5532303063609194,0.38794815037520103,0.6980544043129885,12838,-132.6249115824911,0.0,74,109
BNBUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:01.627402+00:00,2026-03-01T06:04:19.779152+00:00,21858.15175,2,1,100000,100000,55536,44463,0.44463,27815,55536,2.540745468106653,0.497497118985883,0.502502881014117,0.9999819246483035,0.5788856395850933,1.1796617497609367,0.23813477275478828,11694,-136.42365264280164,0.0,238,83
BTCUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.039409+00:00,2026-01-01T06:21:01.272186+00:00,22861.232777,0,1,100000,100000,53922,46077,0.46077,31058,53922,2.3586654545702936,0.5007047216349543,0.4992952783650458,0.9999985670207969,0.23220851942340745,0.3272883873788334,0.7434497747551574,20701,-53.92521411885962,0.0,364,241
BTCUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.006539+00:00,2026-02-01T01:04:17.222034+00:00,3857.215495,0,1,100000,100000,74173,25826,0.25826,56313,74173,19.22967490308705,0.510509214943443,0.48949078505655697,0.9996813036679033,0.6855108124314453,5.7243106304301286,1.038545768812183e-08,11659,-186.6993205555195,0.0,163,363
BTCUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.005709+00:00,2026-03-01T01:29:28.412285+00:00,5368.406576,0,1,100000,100000,74914,25085,0.25085,58967,74914,13.954606257825281,0.6263849213765118,0.37361507862348825,0.9534074574572223,0.7468859357484355,69.18417262908658,0.0,8876,-204.42843402539873,0.0,422,266
DOGEUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.293938+00:00,2026-01-01T18:16:27.560840+00:00,65787.266902,0,1,100000,100000,41208,58791,0.58791,6752,41208,0.6263826108080381,0.49089982527664533,0.5091001747233547,0.9997610384780048,0.05975196593154597,3.694626108963129,0.00022021058103844949,19367,-12.134115583591749,6.9658539639613725e-34,39,36
DOGEUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.009013+00:00,2026-02-01T15:40:18.170788+00:00,56418.161775,0,1,100000,100000,48238,51761,0.51761,7419,48238,0.8550083604704612,0.5009950661304365,0.4990049338695634,0.9999971430100698,0.3314234361920928,0.43709575271766754,0.6620419074021904,16126,-72.79482814603172,0.0,25,27
DOGEUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.003065+00:00,2026-03-01T16:54:34.635694+00:00,60874.632629,0,1,100000,100000,47639,52360,0.5236,5997,47639,0.7825755646089158,0.5017947480005878,0.49820525199941224,0.9999907057912285,0.34815893185529967,0.7834563269264037,0.43335919029699504,15527,-75.99422828114659,0.0,29,36
ETHUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:01.317428+00:00,2026-01-01T12:07:04.931891+00:00,43623.614463,0,1,100000,100000,56282,43717,0.43717,33907,56282,1.2901727812521449,0.4788209374222664,0.5211790625777336,0.9987053632082052,0.4209684859715499,10.048968622233508,9.283390873296068e-24,16266,-99.87317806828705,0.0,151,166
ETHUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.015509+00:00,2026-02-01T01:06:38.913985+00:00,3998.898476,1,1,100000,100000,72490,27509,0.27509,49837,72490,18.12749196686533,0.5439095047592771,0.45609049524072287,0.9944296663783073,0.711052862378796,23.644361158532423,1.3489983166794943e-123,10393,-191.44587912913283,0.0,179,169
ETHUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.002784+00:00,2026-03-01T01:51:16.259909+00:00,6676.257125,0,1,100000,100000,75718,24281,0.24281,55275,75718,11.341384638477356,0.4802424786708577,0.5197575213291423,0.9988733668385934,0.8389127221599869,10.873316312587793,1.5448151277366159e-27,6090,-230.8449238453308,0.0,213,241
SOLUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/SOLUSDT/SOLUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.629785+00:00,2026-01-01T18:06:07.909912+00:00,65167.280127,0,1,100000,100000,30433,69566,0.69566,1912,30433,0.46699816135783534,0.49912923471231885,0.5008707652876812,0.9999978122032643,-0.47535936397731077,0.30381099468946215,0.7612718898872469,22450,82.91961539467852,0.0,18,21
SOLUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/SOLUSDT/SOLUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.004197+00:00,2026-02-01T10:11:04.647852+00:00,36664.643655,4,1,100000,100000,41722,58277,0.58277,3435,41722,1.1379355106403801,0.4998322228081108,0.5001677771918892,0.9999999187786159,-0.09120119614925178,0.06854021719324205,0.945355606639892,22764,18.62360444686463,2.0681344850393234e-77,23,23
SOLUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/SOLUSDT/SOLUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.004999+00:00,2026-03-01T06:16:51.296246+00:00,22611.291247,0,1,100000,100000,32794,67205,0.67205,2968,32794,1.4503373399496153,0.49637128743062753,0.5036287125693725,0.9999620061341299,-0.07955601626973491,1.3142553720724464,0.18876028012047755,17701,14.401060321498456,5.095572147377596e-47,16,18
