asset,date,source_file,timestamp_unit,start_time,end_time,duration_seconds,preview_duplicate_timestamps,sampling_k,input_rows,sampled_rows,retained_rows,zero_delta_count,zero_delta_ratio,duplicate_timestamp_count,bit_count,bits_per_second,p0,p1,shannon_entropy,lag1_autocorrelation,monobit_z,monobit_pvalue,runs_count,runs_z,runs_pvalue,longest_run_0,longest_run_1
BNBUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.389785+00:00,2026-01-01T12:14:33.493825+00:00,44073.10404,0,10,100000,10000,6865,3134,0.3134,171,6865,0.15576393243755746,0.4989075018208303,0.5010924981791697,0.9999965561333735,0.30652303846989803,0.18103851903694704,0.8563373417080167,2381,-25.407315411749217,2.0935754352667703e-142,31,28
BNBUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.002674+00:00,2026-02-01T05:16:00.311841+00:00,18960.309167,0,10,100000,10000,8587,1412,0.1412,284,8587,0.45289345887594934,0.4986607662746011,0.5013392337253989,0.9999948249111702,0.5748863255710998,0.2482030446395602,0.8039773107657057,1826,-53.28014338802731,0.0,39,28
BNBUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:01.627402+00:00,2026-03-01T06:04:19.779152+00:00,21858.15175,2,10,100000,10000,8875,1124,0.1124,184,8875,0.40602701003757097,0.5067042253521127,0.4932957746478873,0.9998703075314175,0.4655338372602053,1.2631728439935752,0.2065270698774762,2372,-43.8647939662934,0.0,31,27
BTCUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.039409+00:00,2026-01-01T06:21:01.272186+00:00,22861.232777,0,10,100000,10000,6796,3203,0.3203,816,6796,0.29727180796817093,0.5101530311948205,0.48984696880517953,0.9997025418822547,0.4134410846220405,1.6739882346571175,0.09413291164319582,1993,-34.09311840325797,9.328666547407043e-255,78,63
BTCUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.006539+00:00,2026-02-01T01:04:17.222034+00:00,3857.215495,0,10,100000,10000,9088,911,0.0911,1643,9088,2.3561037779145395,0.5093529929577465,0.4906470070422535,0.9997475757469946,0.7652979329773638,1.7832603863804644,0.07454392662808604,1067,-72.96300843887795,0.0,54,65
BTCUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.005709+00:00,2026-03-01T01:29:28.412285+00:00,5368.406576,0,10,100000,10000,9165,834,0.0834,2080,9165,1.7072104860636024,0.6168030551009274,0.3831969448990726,0.9602686658935602,0.7559960892165721,22.36404887184276,8.81424171020949e-111,1058,-72.3817806143592,0.0,92,54
DOGEUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.293938+00:00,2026-01-01T18:16:27.560840+00:00,65787.266902,0,10,100000,10000,7996,2003,0.2003,1,7996,0.12154327693702857,0.48586793396698347,0.5141320660330165,0.9994236667326586,0.17607711340856316,2.527388740760602,0.011491422764916265,3292,-15.755092142930563,6.336693923793383e-56,18,17
DOGEUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.009013+00:00,2026-02-01T15:40:18.170788+00:00,56418.161775,0,10,100000,10000,8812,1187,0.1187,0,8812,0.15619083860163574,0.5015887426236949,0.49841125737630504,0.9999927169656242,0.14560541477005037,0.2982777010219132,0.7654912221152401,3765,-13.678129699984218,1.371757747639196e-42,12,15
DOGEUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.003065+00:00,2026-03-01T16:54:34.635694+00:00,60874.632629,0,10,100000,10000,8677,1322,0.1322,4,8677,0.14253884787908147,0.5113518497176444,0.48864815028235564,0.9996281437229653,0.14016997579225451,2.1148590470175246,0.03444196250368585,3729,-13.067305966241221,5.062691635893783e-39,18,14
ETHUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:01.317428+00:00,2026-01-01T12:07:04.931891+00:00,43623.614463,0,10,100000,10000,7508,2491,0.2491,460,7508,0.17210861805979005,0.46550346297282896,0.534496537027171,0.9965636246192863,0.5607165076242472,5.978161285892944,2.2567024978439515e-09,1642,-48.59374889274648,0.0,30,43
