asset,year_month,timestamp_unit,agg_trades_count,raw_trades_count,duration_seconds,first_timestamp_int,last_timestamp_int,agg_trades_per_second,raw_trades_per_second,raw_to_agg_ratio
BNBUSDT,2025-01,us,10970151,25704246,2678398.949312,1735689600767628,1738367999716940,4.095786776954158,9.596869804105411,2.3431077657910087
BNBUSDT,2025-02,us,16532380,45096720,2419199.0706,1738368000290905,1740787199361505,6.833823723278673,18.641177796424703,2.7277814809482965
BNBUSDT,2025-03,us,13871530,36218795,2678397.440439,1740787200404777,1743465597845216,5.179040940886802,13.522561832370776,2.6110165929785683
BNBUSDT,2025-04,us,9388470,23898323,2591995.278154,1743465600575096,1746057595853250,3.6221015057891615,9.220048817766449,2.5454970831243005
BNBUSDT,2025-05,us,8921262,25658640,2678399.652529,1746057600008463,1748735999660992,3.3308180844394757,9.579839952477812,2.8761222347241904
BNBUSDT,2025-06,us,5908737,16535318,2591997.505262,1748736000276713,1751327997781975,2.2796075181417828,6.3793726523392635,2.798452190375033
BNBUSDT,2025-07,us,10674290,29935603,2678398.982144,1751328000185834,1754006399167978,3.9853248418782865,11.17667800785871,2.8044584698373383
BNBUSDT,2025-08,us,11623869,33679238,2678399.8178,1754006400075408,1756684799893208,4.339855805974361,12.574387802812671,2.8974206436772474
BNBUSDT,2025-09,us,12158740,33071832,2591996.219266,1756684800499082,1759276796718348,4.690878755773457,12.75921305524329,2.720004868925563
BNBUSDT,2025-10,us,32666009,95648721,2678399.819831,1759276800138612,1761955199958443,12.1960913968629,35.711143755242325,2.9280810214679116
BNBUSDT,2025-11,us,17266755,55640541,2591999.550788,1761955200256728,1764547199807516,6.66155786745823,21.46626182210741,3.2224086691448393
BNBUSDT,2025-12,us,12350580,35427304,2678399.486962,1764547200424343,1767225599911305,4.611179198667172,13.22704255748785,2.868472897629099
BNBUSDT,2026-01,us,9400687,26334493,2678399.032095,1767225600389785,1769903999421880,3.50981570981488,9.832176865521635,2.8013370724926805
