sub_test,bracket,status,n_ran,n_fail,type_I_rate,passed_sanity
BlockFrequency,50K,passed,1000,9,0.009,True
CumSum_forward,50K,passed,1000,10,0.01,True
CumSum_backward,50K,passed,1000,10,0.01,True
LongestRun,50K,passed,1000,20,0.02,True
DFT,50K,passed,1000,13,0.013,True
Serial_m,50K,passed,1000,9,0.009,True
Serial_m_minus_1,50K,passed,1000,10,0.01,True
Alphabit_MultinomialBitsOver_L2,50K,passed,1000,10,0.01,True
Alphabit_MultinomialBitsOver_L4,50K,passed,1000,8,0.008,True
Alphabit_MultinomialBitsOver_L8,50K,passed,1000,18,0.018,True
Alphabit_MultinomialBitsOver_L16,50K,not_run,0,0,,False
Alphabit_HammingIndep_L16,50K,passed,1000,8,0.008,True
Alphabit_HammingIndep_L32,50K,passed,1000,9,0.009,True
Alphabit_HammingCorr_L32,50K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L64_H,50K,passed,1000,13,0.013,True
Alphabit_RandomWalk1_L64_M,50K,passed,1000,7,0.007,True
Alphabit_RandomWalk1_L64_J,50K,passed,1000,9,0.009,True
Alphabit_RandomWalk1_L64_R,50K,passed,1000,6,0.006,True
Alphabit_RandomWalk1_L64_C,50K,passed,1000,14,0.014,True
Alphabit_RandomWalk1_L320_H,50K,passed,1000,3,0.003,True
Alphabit_RandomWalk1_L320_M,50K,passed,1000,12,0.012,True
Alphabit_RandomWalk1_L320_J,50K,passed,1000,7,0.007,True
Alphabit_RandomWalk1_L320_R,50K,passed,1000,12,0.012,True
Alphabit_RandomWalk1_L320_C,50K,passed,1000,10,0.01,True
D_adaptive,100K,passed,1000,10,0.01,True
D_k2,100K,passed,1000,11,0.011,True
Monobit,100K,passed,1000,7,0.007,True
Runs,100K,passed,1000,11,0.011,True
ApEn,100K,passed,1000,10,0.01,True
BlockFrequency,100K,passed,1000,10,0.01,True
CumSum_forward,100K,passed,1000,9,0.009,True
CumSum_backward,100K,passed,1000,9,0.009,True
LongestRun,100K,passed,1000,14,0.014,True
DFT,100K,passed,1000,12,0.012,True
Serial_m,100K,passed,1000,9,0.009,True
Serial_m_minus_1,100K,passed,1000,8,0.008,True
Alphabit_MultinomialBitsOver_L2,100K,passed,1000,6,0.006,True
Alphabit_MultinomialBitsOver_L4,100K,passed,1000,9,0.009,True
Alphabit_MultinomialBitsOver_L8,100K,passed,1000,9,0.009,True
Alphabit_MultinomialBitsOver_L16,100K,passed,1000,4,0.004,True
Alphabit_HammingIndep_L16,100K,passed,1000,7,0.007,True
Alphabit_HammingIndep_L32,100K,passed,1000,16,0.016,True
Alphabit_HammingCorr_L32,100K,passed,1000,8,0.008,True
Alphabit_RandomWalk1_L64_H,100K,passed,1000,8,0.008,True
Alphabit_RandomWalk1_L64_M,100K,passed,1000,8,0.008,True
Alphabit_RandomWalk1_L64_J,100K,passed,1000,15,0.015,True
Alphabit_RandomWalk1_L64_R,100K,passed,1000,10,0.01,True
Alphabit_RandomWalk1_L64_C,100K,passed,1000,10,0.01,True
Alphabit_RandomWalk1_L320_H,100K,passed,1000,8,0.008,True
Alphabit_RandomWalk1_L320_M,100K,passed,1000,16,0.016,True
Alphabit_RandomWalk1_L320_J,100K,passed,1000,14,0.014,True
Alphabit_RandomWalk1_L320_R,100K,passed,1000,15,0.015,True
Alphabit_RandomWalk1_L320_C,100K,passed,1000,10,0.01,True
D_adaptive,200K,passed,1000,10,0.01,True
D_k2,200K,passed,1000,10,0.01,True
Monobit,200K,passed,1000,12,0.012,True
Runs,200K,passed,1000,10,0.01,True
ApEn,200K,passed,1000,10,0.01,True
BlockFrequency,200K,passed,1000,7,0.007,True
CumSum_forward,200K,passed,1000,10,0.01,True
CumSum_backward,200K,passed,1000,8,0.008,True
LongestRun,200K,passed,1000,15,0.015,True
DFT,200K,passed,1000,10,0.01,True
Serial_m,200K,passed,1000,15,0.015,True
Serial_m_minus_1,200K,passed,1000,9,0.009,True
Alphabit_MultinomialBitsOver_L2,200K,passed,1000,11,0.011,True
Alphabit_MultinomialBitsOver_L4,200K,passed,1000,15,0.015,True
Alphabit_MultinomialBitsOver_L8,200K,passed,1000,13,0.013,True
Alphabit_MultinomialBitsOver_L16,200K,passed,1000,10,0.01,True
Alphabit_HammingIndep_L16,200K,passed,1000,7,0.007,True
Alphabit_HammingIndep_L32,200K,passed,1000,12,0.012,True
Alphabit_HammingCorr_L32,200K,passed,1000,7,0.007,True
Alphabit_RandomWalk1_L64_H,200K,passed,1000,10,0.01,True
Alphabit_RandomWalk1_L64_M,200K,passed,1000,14,0.014,True
Alphabit_RandomWalk1_L64_J,200K,passed,1000,13,0.013,True
Alphabit_RandomWalk1_L64_R,200K,passed,1000,10,0.01,True
Alphabit_RandomWalk1_L64_C,200K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L320_H,200K,passed,1000,12,0.012,True
Alphabit_RandomWalk1_L320_M,200K,passed,1000,8,0.008,True
Alphabit_RandomWalk1_L320_J,200K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L320_R,200K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L320_C,200K,passed,1000,7,0.007,True
